Species Name,Scientific Name,Family,Wingspan,Status,Distribution,Habitat,Host Plants (Larvae),Daily Consumption (mg),Discovered By,Year,Description
Butterfly-Clippers,Parthenos sylvia,Nymphalidae,80-90mm,Stable,"Southeast Asia, Indonesia, Malaysia","Tropical rainforests, secondary forests","Ixora, Wild Cucumber, Passiflora",120,"Carl Peter Thunberg, Cramer",1776,"Forewing triangular; costa very slightly curved, apex rounded, exterior margin oblique and slightly scalloped, posterior margin short, angle convex"
Butterfly-Common Jay,Graphium doson,Papilionidae,70-85mm,Stable,"India, Southeast Asia, Southern China","Forest edges, gardens, parks","Avocado Tree, Soursop, Sugar Apple, Amuyon, Indian Tree",160,C. & R. Felder,1864,Medium-sized swallowtail with distinctive blue-green markings and tail extensions
Butterfly-Common Lime,Papilio demoleus,Papilionidae,80-100mm,Stable,"Asia, introduced to Caribbean and parts of America","Gardens, citrus groves, urban areas","Limeberry, Calamondin, Pomelo, Sweet Orange, Calamansi",140,Linnaeus,1758,"The butterfly is tailless and has a wingspan 80–100 mm, the butterfly has a large number of irregular spots on the wing"
Butterfly-Common Mime,Papilio clytia,Papilionidae,85-95mm,Stable,"India, Southeast Asia","Forest areas, woodland edges","Clover Cinnamon, Wild Cinnamon, Aristolochia",150,Linnaeus,1758,"It's a black-bodied swallowtail and a good example of Batesian mimicry, meaning it mimics the appearance of other distasteful butterflies"
Butterfly-Common Mormon,Papilio polytes,Papilionidae,90-110mm,Stable,"India, Southeast Asia, Southern China","Gardens, forest edges, agricultural areas","Limeberry, Calamondin, Pomelo, Sweet Orange, Calamansi, Lemoncito",155,Linnaeus,1758,"Large black swallowtail with sexual dimorphism, females often mimic other species"
Butterfly-Emerald Swallowtail,Papilio palinurus,Papilionidae,80-100mm,Vulnerable,"Southeast Asia, Indonesia, Philippines",Primary and secondary rainforests,"Curry Leafs, Pink Lime-Berry Tree, Glycosmis",180,Fabricius,1787,Stunning black butterfly with brilliant emerald green bands and patches
BUtterfly-Golden Birdwing,Troides rhadamantus,Papilionidae,150-180mm,Protected,Philippines (endemic),"Primary rainforests, high canopy","Dutchman pipe, Indian Birthwort, Aristolochia",200,H. Lucas,1835,"Large golden yellow and black birdwing butterfly, one of the largest in the world"
Butterfly-Gray Glassy Tiger,Ideopsis juventa,Nymphalidae,70-85mm,Stable,"Southeast Asia, Indonesia","Forest clearings, edges, gardens","Parsonsia, Tylophora, Asclepias",130,Cramer,1777,"Semi-transparent wings with gray and white markings, slow graceful flight"
Butterfly-Great Eggfly,Hypolimnas bolina,Nymphalidae,85-100mm,Stable,"Indo-Pacific region, Australia","Gardens, forest edges, open areas","Portulaca, Synedrella, Asystasia",145,Linnaeus,1758,"Large butterfly with striking sexual dimorphism, males are black with white patches"
Butterfly-Great Yellow Mormon,Papilio lowi,Papilionidae,120-140mm,Near Threatened,Borneo (endemic),"Primary forests, mountainous regions","Citrus species, Murraya, Glycosmis",175,Druce,1873,Large yellow and black swallowtail with distinctive wing patterns
Butterfly-Paper Kite,Idea leuconoe,Nymphalidae,95-110mm,Stable,"Southeast Asia, Taiwan, Southern Japan","Mangroves, coastal forests, gardens","Parsonsia, Tylophora, Gymnema",135,Erichson,1834,Large white butterfly with black markings and semi-transparent wings
Butterfly-Pink Rose,Pachliopta kotzebuea,Papilionidae,80-90mm,Stable,Philippines (endemic),"Forest areas, gardens with host plants","Aristolochia, Dutchman pipe, Birthwort",165,Eschscholtz,1821,Beautiful rose swallowtail with pink and black coloration
Butterfly-Plain Tiger,Danaus chrysippus,Nymphalidae,70-80mm,Stable,"Africa, Asia, Australia","Open areas, gardens, grasslands","Calotropis, Asclepias, Crown flower",125,Linnaeus,1758,"Orange butterfly with black borders and white spots, toxic to predators"
Butterfly-Red Lacewing,Cethosia biblis,Nymphalidae,80-90mm,Vulnerable,"India, Southeast Asia","Primary rainforests, shaded areas","Passiflora, Adenia, Passion vine",170,Drury,1773,Stunning red and black butterfly with intricate lacewing patterns
Butterfly-Scarlet Mormon,Papilio rumanzovia,Papilionidae,110-130mm,Protected,Philippines (endemic),"Primary forests, mountainous regions","Limeberry, Calamondin, Pomelo, Sweet Orange, Calamansi",185,Eschscholtz,1821,Large black swallowtail with brilliant red markings
Butterfly-Tailed Jay,Graphium agamemnon,Papilionidae,80-100mm,Stable,"India, Southeast Asia, Australia","Gardens, forest edges, parks","Polyalthia, Annona, Sugar apple, Amuyon, Indian tree",155,Linnaeus,1758,Green and black swallowtail with distinctive tails and spotted pattern
Moth-Atlas,Attacus atlas,Saturniidae,200-280mm,Stable,"Asia, from India to Indonesia",Tropical and subtropical forests,"Rambutan, Willow, Privet, Tree of Heaven",220,Linnaeus,1758,One of the largest moths in the world with distinctive triangular wing tips
Moth-Giant Silk,Samia cynthia,Saturniidae,100-150mm,Stable,"Asia, introduced to North America","Deciduous forests, parks","Ailanthus, Cherry, Lilac, Privet",190,Drury,1773,Large silk moth with eye spots and feathery antennae
